"mate"	"(Moby_Dick.txt, 52)"
"rest"	"(Moby_Dick.txt, 23), (Adventures_of_Huckleberry_Finn.txt, 15), (Hamlet.txt, 5)"
"rigging"	"(Moby_Dick.txt, 24)"
"right"	"(Adventures_of_Huckleberry_Finn.txt, 111), (Moby_Dick.txt, 32), (Hamlet.txt, 4)"
"river"	"(Adventures_of_Huckleberry_Finn.txt, 71), (Moby_Dick.txt, 2)"
"room"	"(Moby_Dick.txt, 33), (Adventures_of_Huckleberry_Finn.txt, 21)"
"rope"	"(Moby_Dick.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 6)"
"rosin"	"(Hamlet.txt, 43)"
"round"	"(Moby_Dick.txt, 33), (Adventures_of_Huckleberry_Finn.txt, 4), (Hamlet.txt, 1)"
"s"	"(Adventures_of_Huckleberry_Finn.txt, 96), (Moby_Dick.txt, 85), (Hamlet.txt, 9)"
"said"	"(Adventures_of_Huckleberry_Finn.txt, 79), (Moby_Dick.txt, 54), (Hamlet.txt, 8)"
"sail"	"(Moby_Dick.txt, 34)"
"sailor"	"(Moby_Dick.txt, 53), (Adventures_of_Huckleberry_Finn.txt, 2)"
"sally"	"(Adventures_of_Huckleberry_Finn.txt, 24), (Moby_Dick.txt, 1)"
"sawyer"	"(Adventures_of_Huckleberry_Finn.txt, 24)"
"say"	"(Moby_Dick.txt, 147), (Adventures_of_Huckleberry_Finn.txt, 74), (Hamlet.txt, 18)"
"says"	"(Adventures_of_Huckleberry_Finn.txt, 472), (Moby_Dick.txt, 13)"
"sea"	"(Moby_Dick.txt, 303), (Hamlet.txt, 4), (Adventures_of_Huckleberry_Finn.txt, 3)"
"seas"	"(Moby_Dick.txt, 49), (Hamlet.txt, 1)"
"see"	"(Adventures_of_Huckleberry_Finn.txt, 70), (Moby_Dick.txt, 68), (Hamlet.txt, 13)"
"seen"	"(Moby_Dick.txt, 42), (Adventures_of_Huckleberry_Finn.txt, 3)"
"self"	"(Moby_Dick.txt, 23), (Adventures_of_Huckleberry_Finn.txt, 7)"
"selfe"	"(Hamlet.txt, 25)"
"sharks"	"(Moby_Dick.txt, 26)"
"she"	"(Adventures_of_Huckleberry_Finn.txt, 52), (Moby_Dick.txt, 3), (Hamlet.txt, 3)"
"ship"	"(Moby_Dick.txt, 257), (Adventures_of_Huckleberry_Finn.txt, 2), (Hamlet.txt, 1)"
"shipmates"	"(Moby_Dick.txt, 24)"
"ships"	"(Moby_Dick.txt, 28)"
"short"	"(Moby_Dick.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 6), (Hamlet.txt, 2)"
"side"	"(Moby_Dick.txt, 107), (Adventures_of_Huckleberry_Finn.txt, 35)"
"sight"	"(Moby_Dick.txt, 38), (Adventures_of_Huckleberry_Finn.txt, 16), (Hamlet.txt, 4)"
"sir"	"(Moby_Dick.txt, 160), (Hamlet.txt, 46), (Adventures_of_Huckleberry_Finn.txt, 24)"
"sky"	"(Moby_Dick.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 6)"
"snow"	"(Moby_Dick.txt, 23), (Hamlet.txt, 3), (Adventures_of_Huckleberry_Finn.txt, 1)"
"so"	"(Moby_Dick.txt, 169), (Adventures_of_Huckleberry_Finn.txt, 99), (Hamlet.txt, 39)"
"something"	"(Adventures_of_Huckleberry_Finn.txt, 25), (Moby_Dick.txt, 10)"
"soul"	"(Moby_Dick.txt, 47), (Adventures_of_Huckleberry_Finn.txt, 2)"
"spout"	"(Moby_Dick.txt, 30)"
"spring"	"(Moby_Dick.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 2), (Hamlet.txt, 1)"
"st"	"(Moby_Dick.txt, 28), (Adventures_of_Huckleberry_Finn.txt, 11), (Hamlet.txt, 2)"
"starbuck"	"(Moby_Dick.txt, 127)"
"state"	"(Moby_Dick.txt, 21), (Hamlet.txt, 8), (Adventures_of_Huckleberry_Finn.txt, 4)"
"stern"	"(Moby_Dick.txt, 31), (Adventures_of_Huckleberry_Finn.txt, 4)"
"still"	"(Adventures_of_Huckleberry_Finn.txt, 32), (Moby_Dick.txt, 26), (Hamlet.txt, 5)"
"stubb"	"(Moby_Dick.txt, 157)"
"sun"	"(Moby_Dick.txt, 52), (Adventures_of_Huckleberry_Finn.txt, 13)"
"surface"	"(Moby_Dick.txt, 26)"
"t"	"(Adventures_of_Huckleberry_Finn.txt, 175), (Hamlet.txt, 43), (Moby_Dick.txt, 19)"
"table"	"(Moby_Dick.txt, 24), (Adventures_of_Huckleberry_Finn.txt, 11), (Hamlet.txt, 2)"
"tail"	"(Moby_Dick.txt, 50), (Adventures_of_Huckleberry_Finn.txt, 4)"
"talk"	"(Adventures_of_Huckleberry_Finn.txt, 21), (Moby_Dick.txt, 3), (Hamlet.txt, 1)"
"tashtego"	"(Moby_Dick.txt, 30)"
