"mate"	"(Moby_Dick.txt, 52)"
"doan"	"(Adventures_of_Huckleberry_Finn.txt, 33)"
"dollars"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 4)"
"don"	"(Adventures_of_Huckleberry_Finn.txt, 341), (Moby_Dick.txt, 125), (Hamlet.txt, 5)"
"done"	"(Moby_Dick.txt, 46), (Adventures_of_Huckleberry_Finn.txt, 33), (Hamlet.txt, 13)"
"door"	"(Adventures_of_Huckleberry_Finn.txt, 35), (Moby_Dick.txt, 24)"
"down"	"(Moby_Dick.txt, 64), (Adventures_of_Huckleberry_Finn.txt, 64)"
"duke"	"(Adventures_of_Huckleberry_Finn.txt, 43), (Moby_Dick.txt, 2)"
"e"	"(Moby_Dick.txt, 42), (Adventures_of_Huckleberry_Finn.txt, 26), (Hamlet.txt, 8)"
"earth"	"(Moby_Dick.txt, 36), (Hamlet.txt, 12), (Adventures_of_Huckleberry_Finn.txt, 2)"
"em"	"(Moby_Dick.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 18), (Hamlet.txt, 2)"
"end"	"(Moby_Dick.txt, 36), (Hamlet.txt, 9), (Adventures_of_Huckleberry_Finn.txt, 9)"
"enough"	"(Adventures_of_Huckleberry_Finn.txt, 40), (Moby_Dick.txt, 33), (Hamlet.txt, 4)"
"ever"	"(Moby_Dick.txt, 26), (Adventures_of_Huckleberry_Finn.txt, 11), (Hamlet.txt, 1)"
"everything"	"(Adventures_of_Huckleberry_Finn.txt, 24), (Moby_Dick.txt, 4)"
"exeunt"	"(Hamlet.txt, 22)"
"eye"	"(Moby_Dick.txt, 43), (Hamlet.txt, 8), (Adventures_of_Huckleberry_Finn.txt, 5)"
"eyes"	"(Moby_Dick.txt, 57), (Adventures_of_Huckleberry_Finn.txt, 12), (Hamlet.txt, 11)"
"face"	"(Moby_Dick.txt, 36), (Adventures_of_Huckleberry_Finn.txt, 18), (Hamlet.txt, 4)"
"fact"	"(Moby_Dick.txt, 22)"
"fast"	"(Moby_Dick.txt, 32), (Adventures_of_Huckleberry_Finn.txt, 5), (Hamlet.txt, 2)"
"father"	"(Hamlet.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 14), (Moby_Dick.txt, 11)"
"feet"	"(Moby_Dick.txt, 37), (Adventures_of_Huckleberry_Finn.txt, 3)"
"fellow"	"(Moby_Dick.txt, 32), (Adventures_of_Huckleberry_Finn.txt, 4), (Hamlet.txt, 3)"
"fin"	"(Moby_Dick.txt, 24)"
"finn"	"(Adventures_of_Huckleberry_Finn.txt, 21)"
"fire"	"(Moby_Dick.txt, 45), (Adventures_of_Huckleberry_Finn.txt, 11), (Hamlet.txt, 9)"
"first"	"(Adventures_of_Huckleberry_Finn.txt, 34), (Moby_Dick.txt, 25), (Hamlet.txt, 5)"
"fish"	"(Moby_Dick.txt, 109), (Adventures_of_Huckleberry_Finn.txt, 3)"
"fishery"	"(Moby_Dick.txt, 49)"
"flask"	"(Moby_Dick.txt, 75)"
"flukes"	"(Moby_Dick.txt, 21)"
"for"	"(Moby_Dick.txt, 58), (Adventures_of_Huckleberry_Finn.txt, 31), (Hamlet.txt, 16)"
"forecastle"	"(Moby_Dick.txt, 23)"
"form"	"(Moby_Dick.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 3), (Hamlet.txt, 2)"
"forward"	"(Moby_Dick.txt, 24), (Adventures_of_Huckleberry_Finn.txt, 3)"
"gentlemen"	"(Moby_Dick.txt, 33), (Adventures_of_Huckleberry_Finn.txt, 13), (Hamlet.txt, 8)"
"go"	"(Moby_Dick.txt, 35), (Adventures_of_Huckleberry_Finn.txt, 34), (Hamlet.txt, 12)"
"god"	"(Moby_Dick.txt, 88), (Hamlet.txt, 11), (Adventures_of_Huckleberry_Finn.txt, 1)"
"gone"	"(Adventures_of_Huckleberry_Finn.txt, 40), (Moby_Dick.txt, 19), (Hamlet.txt, 9)"
"good"	"(Adventures_of_Huckleberry_Finn.txt, 72), (Moby_Dick.txt, 39), (Hamlet.txt, 6)"
"ground"	"(Moby_Dick.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 10), (Hamlet.txt, 4)"
"gutenberg"	"(Moby_Dick.txt, 71), (Adventures_of_Huckleberry_Finn.txt, 69), (Hamlet.txt, 13)"
"ha"	"(Moby_Dick.txt, 38), (Hamlet.txt, 24), (Adventures_of_Huckleberry_Finn.txt, 3)"
"hadn"	"(Adventures_of_Huckleberry_Finn.txt, 79)"
"hain"	"(Adventures_of_Huckleberry_Finn.txt, 74), (Moby_Dick.txt, 1)"
"half"	"(Moby_Dick.txt, 51), (Adventures_of_Huckleberry_Finn.txt, 24)"
"ham"	"(Hamlet.txt, 337), (Moby_Dick.txt, 1), (Adventures_of_Huckleberry_Finn.txt, 1)"
"hamlet"	"(Hamlet.txt, 63), (Adventures_of_Huckleberry_Finn.txt, 6), (Moby_Dick.txt, 1)"
"hand"	"(Moby_Dick.txt, 97), (Adventures_of_Huckleberry_Finn.txt, 28), (Hamlet.txt, 6)"
"hands"	"(Moby_Dick.txt, 44), (Adventures_of_Huckleberry_Finn.txt, 20), (Hamlet.txt, 4)"
"harpoon"	"(Moby_Dick.txt, 37)"
"harpooneer"	"(Moby_Dick.txt, 34)"
"harpooneers"	"(Moby_Dick.txt, 21)"
"hat"	"(Moby_Dick.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 10)"
"he"	"(Adventures_of_Huckleberry_Finn.txt, 220), (Moby_Dick.txt, 161), (Hamlet.txt, 13)"
"head"	"(Moby_Dick.txt, 173), (Adventures_of_Huckleberry_Finn.txt, 38), (Hamlet.txt, 8)"
"heads"	"(Moby_Dick.txt, 36), (Adventures_of_Huckleberry_Finn.txt, 11), (Hamlet.txt, 1)"
"heard"	"(Moby_Dick.txt, 24), (Hamlet.txt, 6), (Adventures_of_Huckleberry_Finn.txt, 5)"
"heart"	"(Moby_Dick.txt, 38), (Hamlet.txt, 19), (Adventures_of_Huckleberry_Finn.txt, 11)"
"heauen"	"(Hamlet.txt, 25)"
"heaven"	"(Moby_Dick.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 2)"
"helm"	"(Moby_Dick.txt, 25)"
"her"	"(Adventures_of_Huckleberry_Finn.txt, 56), (Moby_Dick.txt, 54), (Hamlet.txt, 12)"
"here"	"(Moby_Dick.txt, 152), (Adventures_of_Huckleberry_Finn.txt, 93), (Hamlet.txt, 6)"
"him"	"(Moby_Dick.txt, 510), (Adventures_of_Huckleberry_Finn.txt, 256), (Hamlet.txt, 62)"
"himself"	"(Moby_Dick.txt, 70), (Adventures_of_Huckleberry_Finn.txt, 17)"
"his"	"(Moby_Dick.txt, 35), (Adventures_of_Huckleberry_Finn.txt, 13), (Hamlet.txt, 2)"
"ho"	"(Moby_Dick.txt, 27), (Hamlet.txt, 5)"
"hold"	"(Moby_Dick.txt, 21), (Hamlet.txt, 1), (Adventures_of_Huckleberry_Finn.txt, 1)"
"hole"	"(Moby_Dick.txt, 27), (Adventures_of_Huckleberry_Finn.txt, 16)"
"home"	"(Moby_Dick.txt, 31), (Adventures_of_Huckleberry_Finn.txt, 26), (Hamlet.txt, 4)"
"hor"	"(Hamlet.txt, 95)"
"horatio"	"(Hamlet.txt, 28)"
"horse"	"(Moby_Dick.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 9), (Hamlet.txt, 3)"
"house"	"(Adventures_of_Huckleberry_Finn.txt, 39), (Moby_Dick.txt, 18), (Hamlet.txt, 3)"
"how"	"(Adventures_of_Huckleberry_Finn.txt, 24), (Moby_Dick.txt, 14), (Hamlet.txt, 4)"
"however"	"(Moby_Dick.txt, 34), (Hamlet.txt, 1), (Adventures_of_Huckleberry_Finn.txt, 1)"
"huck"	"(Adventures_of_Huckleberry_Finn.txt, 57)"
"i"	"(Adventures_of_Huckleberry_Finn.txt, 462), (Moby_Dick.txt, 265), (Hamlet.txt, 53)"
"if"	"(Moby_Dick.txt, 21), (Hamlet.txt, 3), (Adventures_of_Huckleberry_Finn.txt, 1)"
"in"	"(Adventures_of_Huckleberry_Finn.txt, 100), (Moby_Dick.txt, 69), (Hamlet.txt, 23)"
"indeed"	"(Moby_Dick.txt, 55), (Hamlet.txt, 11)"
"instant"	"(Moby_Dick.txt, 28)"
"iron"	"(Moby_Dick.txt, 29), (Adventures_of_Huckleberry_Finn.txt, 3)"
"is"	"(Moby_Dick.txt, 128), (Adventures_of_Huckleberry_Finn.txt, 91), (Hamlet.txt, 34)"
"island"	"(Adventures_of_Huckleberry_Finn.txt, 21), (Moby_Dick.txt, 14)"
"it"	"(Adventures_of_Huckleberry_Finn.txt, 929), (Moby_Dick.txt, 718), (Hamlet.txt, 75)"
"itself"	"(Moby_Dick.txt, 47), (Adventures_of_Huckleberry_Finn.txt, 3)"
"jaw"	"(Moby_Dick.txt, 38)"
"jim"	"(Adventures_of_Huckleberry_Finn.txt, 135)"
"jonah"	"(Moby_Dick.txt, 38)"
"kind"	"(Adventures_of_Huckleberry_Finn.txt, 22), (Moby_Dick.txt, 5), (Hamlet.txt, 1)"
"king"	"(Hamlet.txt, 132), (Moby_Dick.txt, 35), (Adventures_of_Huckleberry_Finn.txt, 35)"
"know"	"(Adventures_of_Huckleberry_Finn.txt, 71), (Moby_Dick.txt, 37), (Hamlet.txt, 13)"
"laer"	"(Hamlet.txt, 60)"
"laertes"	"(Hamlet.txt, 23)"
"lance"	"(Moby_Dick.txt, 21)"
"land"	"(Moby_Dick.txt, 44), (Adventures_of_Huckleberry_Finn.txt, 14), (Hamlet.txt, 5)"
"landlord"	"(Moby_Dick.txt, 25)"
"last"	"(Moby_Dick.txt, 69), (Adventures_of_Huckleberry_Finn.txt, 24), (Hamlet.txt, 5)"
"least"	"(Moby_Dick.txt, 24), (Adventures_of_Huckleberry_Finn.txt, 1)"
"leeward"	"(Moby_Dick.txt, 24)"
"left"	"(Adventures_of_Huckleberry_Finn.txt, 21), (Moby_Dick.txt, 11), (Hamlet.txt, 1)"
"leg"	"(Moby_Dick.txt, 44), (Adventures_of_Huckleberry_Finn.txt, 10)"
"length"	"(Moby_Dick.txt, 27), (Hamlet.txt, 2), (Adventures_of_Huckleberry_Finn.txt, 1)"
"let"	"(Moby_Dick.txt, 22), (Hamlet.txt, 10), (Adventures_of_Huckleberry_Finn.txt, 5)"
"leviathan"	"(Moby_Dick.txt, 47)"
"life"	"(Moby_Dick.txt, 94), (Hamlet.txt, 22), (Adventures_of_Huckleberry_Finn.txt, 22)"
"light"	"(Moby_Dick.txt, 35), (Adventures_of_Huckleberry_Finn.txt, 10), (Hamlet.txt, 3)"
"line"	"(Moby_Dick.txt, 81), (Adventures_of_Huckleberry_Finn.txt, 15), (Hamlet.txt, 1)"
"little"	"(Adventures_of_Huckleberry_Finn.txt, 27), (Moby_Dick.txt, 15), (Hamlet.txt, 2)"
"long"	"(Moby_Dick.txt, 67), (Adventures_of_Huckleberry_Finn.txt, 30), (Hamlet.txt, 4)"
"look"	"(Moby_Dick.txt, 59), (Adventures_of_Huckleberry_Finn.txt, 10), (Hamlet.txt, 2)"
"lord"	"(Hamlet.txt, 128), (Moby_Dick.txt, 25), (Adventures_of_Huckleberry_Finn.txt, 4)"
"loue"	"(Hamlet.txt, 32)"
"m"	"(Adventures_of_Huckleberry_Finn.txt, 29), (Moby_Dick.txt, 2), (Hamlet.txt, 2)"
"made"	"(Moby_Dick.txt, 21), (Hamlet.txt, 5), (Adventures_of_Huckleberry_Finn.txt, 5)"
"main"	"(Moby_Dick.txt, 40)"
"man"	"(Moby_Dick.txt, 271), (Adventures_of_Huckleberry_Finn.txt, 69), (Hamlet.txt, 15)"
"mar"	"(Hamlet.txt, 31)"
"mark"	"(Moby_Dick.txt, 21), (Adventures_of_Huckleberry_Finn.txt, 4), (Hamlet.txt, 1)"
"mast"	"(Moby_Dick.txt, 103)"
